Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
St. Lucia,,,,,,,,3,,,,,,,,,,,,,,2,2,5,3,1,2,
Latin America & Caribbean,1188273,890960,881523,125283,109046,93858,88421,83220,65566,61527,37851,37131,40878,38299,36190,37749,40577,530550,350274,367437,373867,377784,380738,382025,352668,337696,322402,251577
Least developed countries: UN classification,5154454,4544317,4789360,5414332,5941773,5227254,3699472,2943632,2868489,3037679,3065660,2693154,2759372,2476180,2404576,2266833,2171614,2085767,1880805,1920287,1954960,2310969,2533521,2757733,3579434,4183517,4848700,6710238
Low income,4311639,3985478,4149968,4686670,5200033,4672161,3468325,2728149,2648004,2772969,2752932,2425370,2549236,2484093,2481828,2390564,2954649,3633519,3111041,2928093,2951440,3083332,2984115,2881456,3617663,4093081,4587158,5273866
Liechtenstein,,,,,,,,,,,70,141,128,149,149,150,277,283,89,91,92,94,102,97,103,150,163,154
Sri Lanka,,15,21,19,13,16,14,26,29,21,16,17,28,30,63,106,162,182,269,251,223,188,110,145,511,784,604,820
Lower middle income,6418459,5970664,4972857,4883979,4417585,4323772,4032736,3932190,3893250,4107792,5053204,5253337,4240933,3992232,4105139,3887640,3861372,4958793,4746810,5073767,5419910,5238796,5219443,5326121,5555489,5751276,5676275,6920771
Low & middle income,17641843,17100428,16714081,15275929,14935116,14151745,12842339,12045380,11920415,12206997,12919120,12826630,11398301,10659682,10881440,10437483,11519807,13728812,12906517,13156402,13532627,13246897,13453726,15122836,17818888,19429494,20040331,22476564
Lesotho,214,220,117,60,58,,,,,1,,39,,,,,,,,,,34,34,30,44,31,45,50
Late-demographic dividend,1010677,898662,1456425,1431710,1377382,1312768,1567856,1605038,1610360,1528599,1224861,1207671,1196982,1145633,1148038,1130281,1168840,1150485,1153656,1135094,1111412,1085995,1202754,1987259,2510235,2462424,2337895,2240049
Lithuania,,,,,,,,6,34,44,55,287,368,403,470,531,531,688,751,793,803,821,871,916,1007,1093,1093,1557
Luxembourg,687,692,2208,225,300,700,700,700,700,700,759,1201,1201,1201,1590,1822,2206,2737,3109,3230,3254,2855,2910,920,1108,1332,2046,1995
Latvia,,,,,,,,,2,6,7,8,7,17,11,11,21,29,32,43,68,95,125,160,183,208,349,638
"Macao SAR, China",205,116,15,10,9,8,,,,,,,,,,,,,,6,,1,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,311,322,319,336,336,55,51,57,901,901,2105,2091,2127,2121,2121,219,503,786,766,773,792,736,744,1470,1216,3908,4771,4678
Monaco,,,,,,,,,,,,,,,,,,,,,,37,37,34,33,32,32,25
Moldova,,,,,,,,,,8,68,159,173,102,57,84,161,151,148,141,148,146,185,250,335,446,432,371
Madagascar,,,,,73,,,,,28,50,34,,,,,,,,,,9,9,12,11,10,28,34
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,6858896,7452190,7387352,5887941,5779933,5700322,5779902,5843512,5913189,5932384,6096361,6464801,6093053,5783912,5945544,5935398,7218709,8227068,7989433,7834349,7975540,7424262,7328907,8455220,9046707,8929086,8953332,9071128
Mexico,356400,360170,360991,52477,47363,38717,34569,31908,28251,24511,18451,15455,12962,6075,4343,3229,3319,1616,1055,1235,1395,1677,1520,1831,1837,2923,6202,8963
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,13330204,13114950,12564113,10589259,9735083,9479584,9374014,9317231,9272411,9434028,10166188,10401260,8849065,8175589,8399612,8046919,8565158,10095293,9795476,10228309,10581187,10163565,10469611,12241380,14201225,15336413,15453173,17202698
