Sort order,Area,Code,1990,1995,2000,2005,2010,2015,2017,migrants 1990,migrants 1995,migrants 2000,migrants 2005,migrants 2010,migrants 2015,migrants 2017
74,Sierra Leone,694,222242,105374,98241,149615,97452,91213,95248,4312,4275,4564,5658,6459,7237,7557
75,Togo,768,84844,101583,137891,203379,255262,276844,283966,3787,4274,4970,5683,6503,7417,7798
76,ASIA,935,48108431,46422010,49198332,53243730,65921788,76558152,79586709,3221342,3489306,3730371,3964343,4194425,4419898,4504428
77,Central Asia,5500,6630683,5890035,5183872,5238699,5262414,5393504,5462972,50343,53437,55559,58738,63156,68705,70840
78,Kazakhstan,398,3619200,3245250,2871300,3102962,3334623,3546778,3635168,16540,16035,15057,15541,16399,17750,18204
79,Kyrgyzstan,417,623083,510296,389558,312897,231511,204382,200294,4373,4566,4921,5075,5422,5865,6045
80,Tajikistan,762,428900,348347,299266,280444,278152,275059,273259,5284,5765,6216,6854,7642,8549,8921
81,Turkmenistan,795,306500,273565,218498,213051,197979,196386,195061,3684,4208,4516,4755,5087,5565,5758
82,Uzbekistan,860,1653000,1512577,1405250,1329345,1220149,1170899,1159190,20462,22863,24849,26512,28606,30976,31911
83,Eastern Asia,906,3959345,4658475,5393081,6229524,7061814,7600768,7776716,1388798,1463529,1512378,1555012,1595829,1635150,1648165
84,China,156,376361,442198,508034,678947,849861,978046,999527,1172445,1239940,1283199,1321623,1359755,1397029,1409517
85,"China, Hong Kong SAR",344,2218473,2443798,2669122,2721235,2779950,2838665,2883051,5781,6140,6664,6828,7025,7246,7365
86,"China, Macao SAR",446,205047,224929,240791,279308,318506,342703,353654,344,386,428,483,537,601,623
87,Dem. People's Republic of Korea,408,34103,35143,36183,40097,44010,48458,48939,20293,21862,22929,23904,24592,25244,25491
88,Japan,392,1075626,1381097,1686567,2012916,2134151,2232189,2321476,124516,126375,127534,128336,128552,127975,127484
89,Mongolia,496,6718,7424,8206,11475,16061,17620,18204,2184,2298,2397,2526,2713,2977,3076
90,Republic of Korea,410,43017,123886,244178,485546,919275,1143087,1151865,42923,45299,47386,48708,49553,50594,50982
91,Southern Asia,5501,19436343,15343019,15278020,13722011,14307646,14173830,13582402,1189316,1320106,1452758,1583092,1705374,1823308,1868985
92,Afghanistan,4,57686,71522,75917,87300,102246,489749,133612,12249,17100,20094,25071,28803,33736,35530
93,Bangladesh,50,881617,934735,987853,1166700,1345546,1422805,1500921,106189,118707,131581,143431,152149,161201,164670
94,Bhutan,64,23807,27972,32137,40279,48420,51106,52296,537,515,573,657,728,787,808
95,India,356,7493204,6952238,6411272,5923642,5436012,5240960,5188550,870133,960483,1053051,1144119,1230981,1309054,1339180
96,Iran (Islamic Republic of),364,4291601,2937668,2803805,2568930,2761561,2726420,2699155,56226,60576,66132,70422,74568,79360,81163
97,Maldives,462,8689,18510,27092,45045,54659,64273,67026,223,254,280,319,365,418,436
98,Nepal,524,429974,690225,717900,679457,578657,509855,502670,18749,21396,23741,25640,27023,28656,29305
99,Pakistan,586,6208204,3669308,4181912,3171132,3941586,3628956,3398154,107679,122829,138523,153910,170560,189381,197016
100,Sri Lanka,144,41561,40841,40132,39526,38959,39706,40018,17330,18247,18782,19525,20198,20714,20877
101,South-Eastern Asia,920,2876616,3700057,4926833,6522343,8673693,9609923,9873600,444097,485371,524657,561770,597328,634610,648780
102,Brunei Darussalam,96,73200,84748,96296,98441,100587,102733,108612,259,297,333,365,389,418,429
103,Cambodia,116,38375,92230,146085,114031,81977,73963,76329,8973,10654,12152,13270,14309,15518,16005
104,Indonesia,360,465612,378960,292307,289568,305416,338124,345930,181437,196958,211540,226713,242524,258162,263991
105,Lao People's Democratic Republic,418,22866,23526,21948,20371,32473,44575,45466,4258,4852,5329,5754,6246,6664,6858
106,Malaysia,458,695920,937368,1277223,1722344,2406011,2650617,2703629,18038,20496,23186,25659,28112,30723,31624
107,Myanmar,104,133545,113663,98011,83025,76414,73308,74660,40626,43238,46095,48483,50156,52404,53371
108,Philippines,608,154071,207345,318095,257468,208599,211862,218530,61947,69836,77992,86274,93727,101716,104918
109,Singapore,702,727262,991492,1351691,1710594,2164794,2543638,2623404,3013,3479,3914,4491,5074,5535,5709
110,Thailand,764,528693,809720,1257821,2163447,3224131,3486526,3588873,56583,59492,62958,65425,67209,68658,69038
111,Timor-Leste,626,8954,9743,10602,11286,11535,11784,12063,752,871,872,1026,1110,1241,1296
112,Viet Nam,704,28118,51262,56754,51768,61756,72793,76104,68210,75199,80286,84309,88473,93572,95541
113,Western Asia,922,15205444,16830424,18416526,21531153,30616221,39780127,42891019,148788,166864,185019,205731,232738,258124,267660
114,Armenia,51,658789,693999,657900,469119,221560,191199,190719,3538,3217,3070,2981,2877,2917,2930
115,Azerbaijan,31,360600,344070,327540,302220,276901,264241,259241,7243,7775,8123,8539,9032,9617,9828
116,Bahrain,48,173212,205979,239361,404018,657856,704137,722649,496,564,665,889,1241,1372,1493
117,Cyprus,196,43805,61941,80076,117165,188472,192020,188973,767,855,943,1028,1113,1161,1180
118,Georgia,268,304470,152235,76117,72311,73034,76685,78218,5410,5020,4722,4487,4232,3952,3912
119,Iraq,368,83638,199460,210525,132915,117389,359381,366568,17469,20208,23565,27008,30763,36116,38275
120,Israel,376,1632704,1792185,1851309,1889503,1950615,2011727,1962123,4500,5334,6014,6603,7426,8065,8322
121,Jordan,400,1146349,1537097,1927845,2325414,2722983,3112026,3233553,3561,4573,5103,5714,7182,9159,9702
122,Kuwait,414,1074391,921954,1127640,1333327,1871537,2866136,3123431,2100,1611,2051,2277,2998,3936,4137
123,Lebanon,422,523693,608303,692913,756784,820655,1973204,1939212,2703,3033,3235,3987,4337,5851,6082
124,Oman,512,304000,539643,623608,666160,816221,1814591,2073292,1812,2204,2268,2511,3041,4200,4636
125,Qatar,634,309753,361673,359697,646026,1456413,1687640,1721392,476,513,592,865,1780,2482,2639
126,Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,12185284,16327,18736,20764,23906,27426,31557,32938
127,State of Palestine,275,288332,281767,275202,266617,258032,255507,253735,2101,2618,3223,3576,4067,4663,4921
128,Syrian Arab Republic,760,714140,830610,832273,876410,1785115,993940,1013818,12446,14345,16411,18295,21019,18735,18270
129,Turkey,792,1163686,1216173,1280963,1319236,1367034,4131302,4881966,53922,58486,63240,67903,72327,78271,80745
130,United Arab Emirates,784,1306574,1824118,2446675,3281036,7316611,7995126,8312524,1860,2449,3155,4580,8271,9154,9400
131,Yemen,887,118863,136515,143495,171073,285837,379899,384321,12057,15321,17875,20583,23607,26916,28250
132,EUROPE,908,49232191,52867154,56314416,63201280,70747947,74501508,77895217,721699,728085,727201,730290,737164,740814,742074
133,Eastern Europe,923,21995312,21344124,20428480,19747392,19127781,19880519,20121711,309902,309557,303958,297511,294541,293244,292454
134,Belarus,112,1248977,1186282,1123586,1106982,1090378,1082905,1078652,10217,10142,9934,9622,9473,9486,9468
135,Bulgaria,100,21510,32435,43360,61074,76287,133803,153803,8841,8379,7998,7684,7405,7177,7085
136,Czechia,203,110394,165592,220789,322540,398493,416454,433290,10341,10358,10290,10258,10536,10604,10618
137,Hungary,348,347510,322234,296957,366787,436616,475508,503787,10378,10350,10221,10086,9928,9784,9722
138,Poland,616,1127771,964725,825251,722509,642417,611855,640937,37955,38453,38550,38363,38323,38265,38171
139,Republic of Moldova,498,544162,367231,247828,173957,157668,142904,140045,4364,4339,4201,4158,4084,4066,4051
140,Romania,642,135825,135037,126949,145162,166126,281048,370753,23489,22965,22128,21431,20440,19877,19679
141,Russian Federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11651509,147564,148289,146397,143618,143154,143888,143990
142,Slovakia,703,41295,69323,116376,130491,146319,177624,184642,5288,5375,5399,5399,5404,5439,5448
143,Ukraine,804,6892920,6172338,5527087,5050302,4818767,4915142,4964293,51464,50906,48840,46892,45793,44658,44223
144,Northern Europe,924,6645605,7194824,7900973,9588814,11810676,13188813,13946390,92142,93281,94544,96377,100314,103097,104200
145,Channel Islands,830,61660,60519,64301,70941,77581,82307,83082,141,144,149,154,160,164,165
146,Denmark,208,235189,303108,371026,440383,509740,595876,656789,5141,5233,5341,5422,5555,5689,5734
147,Estonia,233,381997,315755,249512,233701,217890,194664,192962,1565,1433,1399,1356,1332,1315,1310
148,Faeroe Islands,234,4285,2900,3593,4583,5096,5517,5735,48,46,47,48,49,49,49
149,Finland,246,63255,99729,136203,192169,248135,314856,343582,4996,5119,5188,5259,5366,5482,5523
150,Iceland,352,9584,12738,15892,25492,35091,39072,41853,255,268,280,295,320,330,335
151,Ireland,372,227961,226892,350552,589046,730542,749943,806549,3569,3652,3849,4213,4627,4700,4762
152,Isle of Man,833,34769,36886,39002,41475,43447,45221,45872,68,70,73,76,80,83,84
153,Latvia,428,646007,538093,430178,376725,313786,265418,256889,2664,2508,2384,2252,2119,1993,1950
154,Lithuania,440,349258,273587,214311,201209,160772,136021,124706,3696,3627,3502,3344,3124,2932,2890
155,Norway,578,192587,233302,292440,361144,526799,746375,798944,4247,4367,4499,4632,4886,5200,5305
156,Sweden,752,788767,936022,1003798,1125790,1337214,1602522,1747710,8567,8836,8882,9039,9390,9764,9911
157,United Kingdom,826,3650286,4155293,4730165,5926156,7604583,8411021,8841717,57183,57978,58951,60287,63307,65397,66182
158,Southern Europe,925,4340454,5985675,7517054,11974334,16205444,15830496,15957631,143765,144632,145657,150393,153943,152441,151989
159,Albania,8,66013,71354,76695,64739,52784,52031,52484,3281,3107,3122,3079,2941,2923,2930
160,Andorra,20,38904,40525,42146,50298,52053,42082,41039,55,64,65,79,84,78,77
161,Bosnia and Herzegovina,70,56000,69476,82952,47272,38792,38574,37100,4463,3844,3767,3782,3722,3536,3507
162,Croatia,191,475438,674085,585298,579273,573248,575738,560483,4776,4617,4428,4378,4328,4236,4189
163,Gibraltar,292,8709,8381,8054,9211,10369,11065,11152,29,30,31,32,33,34,35
164,Greece,300,618139,857850,1111665,1190707,1321149,1242924,1220395,10249,10789,11142,11301,11446,11218,11160
165,Holy See,336,768,780,785,798,794,803,792,1,1,1,1,1,1,1
166,Italy,380,1428221,1774953,2121690,3954785,5787898,5805325,5907461,57127,57255,57294,58808,59730,59504,59360
167,Malta,470,15077,17740,21521,24560,33008,42430,45539,364,380,397,407,416,428,431
168,Montenegro,499,..,..,..,..,78507,82541,70984,615,620,614,616,624,628,629
169,Portugal,620,435782,532822,651472,771184,762825,864814,880188,9953,10150,10355,10566,10652,10418,10330
170,San Marino,674,3310,3659,4045,4218,4399,5174,5243,24,26,27,29,31,33,33
171,Serbia,688,99269,630221,856763,845120,826066,807441,801903,9518,9884,9488,9215,9030,8851,8791
172,Slovenia,705,178077,174419,171018,197276,253786,237616,244790,2006,1991,1988,1996,2045,2075,2080
173,Spain,724,821605,1020067,1657285,4107226,6280065,5891208,5947106,39306,39890,40904,44043,46789,46398,46354
174,TFYR Macedonia,807,95142,109343,125665,127667,129701,130730,130972,1996,1983,2035,2060,2071,2079,2083
175,Western Europe,926,16250820,18342531,20467909,21890740,23604046,25601680,27869485,175890,180615,183042,186010,188366,192032,193431
176,Austria,40,793239,894893,996547,1136270,1275992,1492374,1660283,7724,7990,8069,8254,8410,8679,8735
177,Belgium,56,904528,909769,895900,882031,1119256,1252380,1268411,10007,10186,10282,10547,10939,11288,11429
178,France,250,5897267,6087993,6278718,6737600,7196481,7918382,7902783,56961,58242,59608,61234,63027,64457,64980
179,Germany,276,5936181,7464406,8992631,9402447,9812263,10220418,12165083,79118,81241,81488,81671,80895,81708,82114
180,Liechtenstein,438,10906,13311,15483,18898,22342,23799,24683,29,31,33,35,36,37,38
181,Luxembourg,442,113795,126106,139750,150618,248888,260573,264073,382,408,436,458,508,567,583
182,Monaco,492,20359,21060,21787,21312,21132,21042,21255,29,31,32,34,37,38,39
183,Netherlands,528,1182263,1346164,1556337,1736127,1832510,1996318,2056520,14965,15468,15926,16367,16683,16938,17036
184,Switzerland,756,1392282,1478829,1570756,1805437,2075182,2416394,2506394,6675,7019,7167,7410,7832,8320,8476
185,LATIN AMERICA AND THE CARIBBEAN,904,7169728,6694640,6579328,7237476,8246652,9272027,9508189,445919,486863,525795,561656,597562,632381,645593
186,Caribbean,915,1056555,1154700,1256547,1333118,1353589,1385784,1399747,34237,36423,38404,40116,41725,43310,43883
187,Anguilla,660,2570,3317,4063,4684,5103,5470,5579,8,10,11,13,14,15,15
188,Antigua and Barbuda,28,12029,17550,23071,24741,26412,28083,28646,67,74,84,89,95,100,102
189,Aruba,533,14444,22274,30104,32540,34327,36114,36356,62,80,91,100,102,104,105
190,Bahamas,44,26855,31654,36454,45595,54736,59306,61806,256,280,298,329,361,387,395
191,Barbados,52,24024,26224,28424,30624,32825,34475,34660,260,265,270,274,280,284,286
192,British Virgin Islands,92,8035,10046,12958,15016,17074,19132,19959,16,18,21,23,27,30,31
193,Caribbean Netherlands,535,38410,42258,46105,49105,11445,13002,13508,13,15,14,14,21,25,25
194,Cayman Islands,136,9387,14320,19253,21655,24057,23726,24355,25,32,42,49,56,60,62
195,Cuba,192,34555,26187,17818,17023,14818,13336,13136,10582,10906,11151,11284,11333,11461,11485
196,Curacao,531,0,0,0,0,34627,37611,38396,147,144,132,129,148,158,161
197,Dominica,212,2519,3121,3723,4744,5765,6720,6782,71,71,70,71,71,73,74
198,Dominican Republic,214,291151,323381,355611,376001,393720,415564,424964,7184,7892,8563,9238,9898,10528,10767
199,Grenada,308,4263,5544,6825,6902,6980,7057,7124,96,100,102,103,105,107,108
200,Guadeloupe,312,65944,74566,83188,89065,94942,98507,99350,386,403,425,440,451,450,450
201,Haiti,332,19084,22458,25832,30468,35104,39529,40533,7100,7820,8549,9263,10000,10711,10981
202,Jamaica,388,20475,22713,24952,24314,23677,23167,23332,2424,2537,2657,2745,2817,2872,2890
203,Martinique,474,38705,46599,54492,57034,59575,61731,61579,358,369,387,397,395,386,385
204,Montserrat,500,2013,1612,1211,1244,1277,1351,1364,11,10,5,5,5,5,5
205,Puerto Rico,630,321909,338067,355038,352144,304969,280494,273494,3518,3690,3797,3765,3717,3674,3663
206,Saint Kitts and Nevis,659,3210,4248,5871,6682,7245,7443,7587,41,43,45,49,51,54,55
207,Saint Lucia,662,5305,7152,9868,11468,12100,12771,12889,138,147,157,164,173,177,179
208,Saint Vincent and the Grenadines,670,3970,4135,4307,4395,4485,4577,4595,108,108,108,109,109,109,110
209,Sint Maarten (Dutch part),534,..,..,..,13100,26200,27295,28260,29,31,32,33,33,39,40
210,Trinidad and Tobago,780,50666,45994,41753,44812,48226,49883,50214,1222,1255,1268,1297,1328,1360,1369
211,Turks and Caicos Islands,796,5062,7039,9015,13115,17216,22719,24534,12,15,19,26,31,34,35
212,United States Virgin Islands,850,51970,54241,56611,56647,56684,56721,56745,104,107,109,108,106,105,105
213,Central America,916,1829911,1298916,1107577,1385713,1749940,2043212,2092819,114731,126844,137992,148212,160557,172635,177316
214,Belize,84,30404,33446,36488,41424,46360,54674,59998,188,207,247,283,322,359,375
215,Costa Rica,188,417628,364287,310946,358175,405404,411697,414214,3096,3511,3925,4248,4545,4808,4906
216,El Salvador,222,47360,39537,31713,36019,40324,42045,42323,5255,5611,5868,6029,6165,6312,6378
217,Guatemala,320,264257,156188,48119,57252,66384,78352,81528,9264,10408,11651,13096,14630,16252,16914
218,Honduras,340,270423,149442,28461,27875,27288,38317,38700,4955,5709,6524,7373,8195,8961,9265
219,Mexico,484,695674,458549,538051,712487,969538,1193155,1224169,85358,94046,101720,108472,117319,125891,129163
220,Nicaragua,558,41421,26619,30389,34918,37333,40262,41159,4145,4612,5027,5379,5738,6082,6218
221,Panama,591,62744,70848,83410,117563,157309,184710,190728,2471,2740,3030,3330,3643,3969,4099
222,South America,931,4283262,4241024,4215204,4518645,5143123,5843031,6015623,296951,323595,349399,373329,395280,416436,424394
223,Argentina,32,1649919,1595069,1540219,1673088,1805957,2086302,2164524,32730,34995,37057,39145,41224,43418,44271
224,Bolivia (Plurinational State of),68,73758,83598,92658,107745,122846,142989,148837,6856,7567,8340,9125,9918,10725,11052
225,Brazil,76,798517,741557,684596,638582,592568,716568,735557,149352,162297,175288,186917,196796,205962,209288
226,Chile,152,107501,142417,177332,273384,369436,469436,488571,13242,14297,15263,16147,16993,17763,18055
227,Colombia,170,104277,106943,109609,107612,124271,139134,142319,34272,37442,40404,43286,45918,48229,49066
228,Ecuador,218,78663,115093,151523,187404,325366,387513,399068,10218,11441,12629,13735,14935,16144,16625
229,Falkland Islands (Malvinas),238,855,868,1067,1166,1436,1571,1579,2,2,3,3,3,3,3
230,French Guiana,254,63612,70131,76649,86468,96288,106108,111718,116,137,163,204,234,269,283
231,Guyana,328,4095,6352,8610,10868,13126,15384,15530,743,761,753,751,747,769,778
232,Paraguay,600,195884,186570,176608,168243,160299,156462,160519,4214,4761,5303,5795,6210,6639,6811
233,Peru,604,65025,56732,66293,77541,84066,91481,93780,21827,24039,25915,27610,29374,31377,32165
234,Suriname,740,18031,22270,27506,33664,39713,46836,47699,407,444,472,499,526,553,563
235,Uruguay,858,98116,93428,88871,82318,76263,78799,79586,3110,3225,3321,3326,3374,3432,3457
236,Venezuela (Bolivarian Republic of),862,1025009,1019996,1013663,1070562,1331488,1404448,1426336,19862,22189,24488,26784,29028,31155,31977
237,NORTHERN AMERICA,905,27610542,33341147,40351848,45363387,50970996,55766224,57664154,280345,295114,312845,327546,342937,356004,361208
238,Bermuda,60,15683,16676,17668,18276,18884,19126,18954,61,63,64,65,64,62,61
239,Canada,124,4333318,4864778,5511914,6078985,6761226,7561226,7861226,27693,29330,30736,32288,34169,35950,36624
240,Greenland,304,9416,7320,6755,6686,6226,6009,6014,56,56,56,57,57,56,56
241,Saint Pierre and Miquelon,666,1099,1320,1458,1147,1017,986,990,6,6,6,6,6,6,6
242,United States of America,840,23251026,28451053,34814053,39258293,44183643,48178877,49776970,252530,265659,281983,295130,308641,319929,324459
243,OCEANIA,909,4730858,5022263,5360027,6023421,7124634,8051745,8410933,27071,29185,31229,33568,36636,39543,40691
244,Australia/New Zealand,927,4473260,4741947,5065063,5717982,6830423,7750276,8102983,20440,21752,22925,24374,26490,28414,29156
245,Australia,36,3955213,4153330,4386250,4878030,5882980,6710540,7035560,17041,18077,19066,20239,22120,23800,24451
246,New Zealand,554,518047,588617,678813,839952,947443,1039736,1067423,3398,3675,3859,4135,4370,4615,4706
247,Melanesia,928,90210,96828,94078,103878,105684,114595,118078,5670,6388,7194,8048,8983,9933,10321
248,Fiji,242,13283,13001,12719,12435,13351,13751,13911,729,775,811,822,860,892,906
249,New Caledonia,540,37673,43662,49651,55405,61158,64290,66001,170,191,213,233,251,269,276
250,Papua New Guinea,598,32720,33526,25101,29967,25424,30782,32389,4313,4894,5572,6315,7108,7920,8251
251,Solomon Islands,90,4226,4178,3981,3271,2760,2585,2532,312,359,413,470,528,587,611
