Bangladesh,BGD,31598341233.559,37939748768.6567,53369787318.6245,69442943089.4309,115279077465.226,195078678697.23,249723862487.361
Bulgaria,BGR,20632090909.0909,13063422619.0476,13153016530.8718,29636617749.8253,50610058210.3696,50201314894.5817,58220973782.7715
Bahrain,BHR,4229787234.04255,5849467819.14894,9062906914.89362,15968726861.7021,25713271276.5957,31125851063.8298,35307127659.5745
"Bahamas, The",BHS,3166000000,3429000000,8076470000,9836200000,10095760000,11792300000,12162100000
Bosnia and Herzegovina,BIH,,1866572953.73666,5505984455.95855,11222953519.4252,17176781336.7644,16209702863.6235,18054854788.5214
Belarus,BLR,21650000000,13972676840.918,12736856827.9847,30207567316.6202,58665088956.0255,56454734396.5842,54456465472.6162
Belize,BLZ,412086445.492177,620140400,832072450,1114202700,1396731700,1762500450,1862614800
Bermuda,BMU,1592400000,2030749952,3480219000,4868136000,5744414000,,
Bolivia,BOL,4867582620.20708,6715220507.05164,8397912509.09679,9549077869.1065,19649724655.4886,33000198263.3864,37508642112.8799
Brazil,BRA,461951782000,769305386182.849,655420645476.906,891630175813.342,2208871646202.82,1802214373741.32,2055505502224.73
Barbados,BRB,2023318251.8769,2261969870.23318,3121500000,3897300000,4529900000,4584150000,4673500000
Brunei Darussalam,BRN,3520551724.13793,4734020036.68689,6001153306.2645,9531402847.87311,13707370737.0737,12930394937.8137,12128089001.5858
Bhutan,BTN,299787275.842376,303053462.843047,439158233.199822,818869145.124717,1585472534.10547,2059809919.89325,2528007911.35353
Botswana,BWA,3790567051.86778,4730611067.02258,5788329609.15755,9931134940.51346,12786654365.8738,14406496463.6055,17406565823.2986
Central African Republic,CAF,1440711395.67069,1115389731.79119,914500299.097034,1337362392.15225,1986015906.25044,1583776805.96568,1949411659.20453
Canada,CAN,593929550908.468,604031623433.401,742293448252.643,1169357979864.66,1613464422811.13,1559623393038.66,1653042795255.04
Central Europe and the Baltics,CEB,256391119870.428,386483907820.357,427831355695.718,886221273344.204,1312221268453.82,1285887062843.63,1454536913148.29
Switzerland,CHE,258066552980.132,342617007103.594,272055499940.786,408689353999.357,583782977866.405,679289166858.236,678887336848.252
Channel Islands,CHI,,,6439703434.71024,8827272727.27273,,,
Chile,CHL,33113887817.9731,73447063319.3034,77860932151.8471,122964812046.073,218537551220.071,243999477737.94,277075944401.941
China,CHN,360857912565.966,734547898220.508,1211346869605.24,2285965892360.54,6100620488867.55,11064666282625.5,12237700479375
Cote d'Ivoire,CIV,10795850106.9547,11000146839.497,10717022462.6859,17084928927.4555,24884505034.5564,39633467835.725,37353276059.2518
Cameroon,CMR,11151578050.7356,9643953174.77349,10083937740.0624,17944084201.4901,26143818509.6421,30916218544.4404,34922782310.6416
"Congo, Dem. Rep.",COD,9349764580.36997,5643439376.10491,19088046305.7971,11964484667.9102,21565720044.4634,37917704900.0794,37642482562.3205
"Congo, Rep.",COG,2798746050.58228,2116003977.97529,3219910550.39332,6087003176.11624,12007880438.6232,8553154580.39951,8701334800.21976
Colombia,COL,47844090709.9908,92507279383.0387,99886577330.7271,145180960224.302,286103648654.545,293481748240.779,314457601859.523
Comoros,COM,429622147.743446,398461789.558686,350264287.687331,653584808.745573,907093130.313521,988150249.533688,1068124329.86257
Cabo Verde,CPV,306891107.262039,487148993.533109,539227277.626411,971977088.156914,1664310769.55229,1596800287.16405,1772706451.18085
